NAME;URL;VALUE;
PRCO-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PRCO-B.ST;123.91;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PRCO-B.ST
XACT-NORDEN-30.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=XACT-NORDEN-30.ST;123.64;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=XACT-NORDEN-30.ST
AKEL-PREF.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AKEL-PREF.ST;123.34;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AKEL-PREF.ST
ISR.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ISR.ST;122.95;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ISR.ST
FIL.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FIL.ST;122.75;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FIL.ST
SRNKE-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SRNKE-B.ST;122.58;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SRNKE-B.ST
SYSR.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SYSR.ST;122.03;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SYSR.ST
BALD-PREF.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BALD-PREF.ST;121.97;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BALD-PREF.ST
MANTEX.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MANTEX.ST;121.47;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MANTEX.ST
ADDERA.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ADDERA.ST;121.34;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ADDERA.ST
GUGEO.NGM;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GUGEO.NGM;121.01;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GUGEO.NGM
HEMF-PREF.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HEMF-PREF.ST;120.35;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HEMF-PREF.ST
HUM.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HUM.ST;120.1;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HUM.ST
VICP-PREF.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=VICP-PREF.ST;119.92;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=VICP-PREF.ST
ORGC.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ORGC.ST;119.76;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ORGC.ST
XMWO.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=XMWO.ST;119.61;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=XMWO.ST
SAGA-PREF.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SAGA-PREF.ST;119.29;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SAGA-PREF.ST
BONAV-A.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BONAV-A.ST;119.16;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BONAV-A.ST
XMEM.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=XMEM.ST;119.03;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=XMEM.ST
UFLX-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=UFLX-B.ST;118.84;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=UFLX-B.ST
B3IT.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=B3IT.ST;118.74;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=B3IT.ST
CLEMO.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CLEMO.ST;118.15;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CLEMO.ST
VOLO.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=VOLO.ST;118.06;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=VOLO.ST
XACT-BEAR.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=XACT-BEAR.ST;117.85;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=XACT-BEAR.ST
CHRO.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CHRO.ST;117.3;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CHRO.ST
DUST.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DUST.ST;117.04;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DUST.ST
