HELIO.ST;HELIOSPECTRA;STAY LONG;4.33;4.49;4.17;4.39;1.39;18,066
HEMC.ST;HEMCHECK SWEDEN;STAY IN CASH;14;15;12.45;13.25;-5.02;297,719
HEMC-TO1.ST;HEMCHECK SWEDEN SUBSCR OPT;STAY IN CASH;5.7;5.9;3.6;5.3;-7.02;272,451
HEMF.ST;HEMFOSA FASTIGHETER AB;STAY IN CASH;97.7;98.6;97.3;97.6;-0.1;231,353
HEMF-PREF.ST;HEMFOSA FASTIGHETER PRF;STAY LONG;180;180.9;178.2;180.9;0.95;12,643
HEXA-B.ST;HEXAGON B;STAY LONG;391.9;394.5;389.7;393;0.8;250,721
HIFA-B.ST;HIFA B;STAY SHORT;3.29;3.29;3.25;3.25;-0.91;3,27
HIQ.ST;HIQ INTERNATIONAL;STAY LONG;57.25;58.25;56.5;57.5;0;482,062
HLDX.ST;HALDEX;STAY LONG;108.5;108.5;106.25;108;-0.23;24,376
HM-B.ST;HENNES & MAURITZ B;STAY SHORT;200;203.7;199.3;200.7;-0.15;6,485,815
HMED.ST;HANSA MEDICAL;STAY LONG;177.5;178.5;172;172.5;-0.86;101,436
HMS.ST;HMS NETWORKS;STAY SHORT;118;119.25;114;115.75;-1.7;39,651
HOFI.ST;HOIST FINANCE;STAY LONG;85.25;86.25;85;85.25;-0.87;29,286
HOGK-PREF-A.ST;AKTIEBOLAGET HOGKULLEN PRF;STAY LONG;33.1;33.4;33;33;-0.3;5,365
HOLM-A.ST;HOLMEN A;STAY SHORT;347.9;354;347.9;349.7;0.52;325
HOLM-B.ST;HOLMEN B;BUY;346.1;350.1;346.1;349.7;0.66;76,256
HOVD.ST;HOVDING SVERIGE;STAY IN CASH;16.6;16.6;16;16.2;-1.22;8,621
HOYLU.ST;HOYLU;BUY;3.43;3.5;3.38;3.5;0.29;37,739
HPOL-B.ST;HEXPOL B;STAY SHORT;78;78.5;77.55;78.25;0.64;1,701,864
HTRO.ST;HEXATRONIC GROUP;STAY LONG;61;62.75;58;59.5;-1.65;403,581
